n v tiempo llamadas
7 2116 0.00288 255
8 2116 0.005463 511
9 2116 0.010086 1023
10 2116 0.019929 2047
11 2116 0.03917 4095
12 2116 0.077173 8191
13 2116 0.153218 16383
14 2116 0.306528 32767
15 2116 0.614338 65535
16 2116 1.22712 131071
17 2116 2.41158 262143
18 2116 4.76996 524287
19 2116 9.41437 1048575
20 2116 18.4401 2097151
21 2116 36.2411 4194303
22 2116 73.0373 8388607
23 2116 144.041 16777215
24 2116 286.184 33554431
25 2116 584.242 67108863
26 2116 1166.55 134217727
27 2116 2306.28 268435455
28 2116 4614.22 536870911
29 2116 9151.51 1073741823
1 2401 0.000333 3
2 2401 0.000357 7
3 2401 0.000476 15
4 2401 0.000921 31
5 2401 0.001135 63
6 2401 0.001737 127
7 2401 0.002924 255
8 2401 0.005369 511
9 2401 0.010327 1023
10 2401 0.02025 2047
11 2401 0.039508 4095
12 2401 0.077335 8191
13 2401 0.153962 16383
14 2401 0.305805 32767
15 2401 0.651905 65535
16 2401 1.30772 131071
17 2401 2.47469 262143
18 2401 4.77431 524287
19 2401 9.84385 1048575
20 2401 18.3347 2097151
21 2401 36.1405 4194303
22 2401 72.7555 8388607
23 2401 143.412 16777215
24 2401 286.435 33554431
25 2401 582.171 67108863
26 2401 1144.25 134217727
27 2401 2327.57 268435455
28 2401 4610.17 536870911
29 2401 9157.48 1073741823
1 2704 0.000296 3
2 2704 0.000363 7
3 2704 0.00074 15
4 2704 0.000753 31
5 2704 0.00149 63
6 2704 0.001753 127
7 2704 0.003009 255
8 2704 0.005582 511
9 2704 0.010558 1023
10 2704 0.0201 2047
11 2704 0.051252 4095
12 2704 0.076813 8191
13 2704 0.153363 16383
14 2704 0.378177 32767
15 2704 0.61087 65535
16 2704 1.22264 131071
17 2704 2.43812 262143
18 2704 4.8055 524287
19 2704 9.6094 1048575
20 2704 18.3994 2097151
21 2704 36.7073 4194303
22 2704 72.8166 8388607
23 2704 145.401 16777215
24 2704 285.766 33554431
25 2704 591.479 67108863
26 2704 1145.23 134217727
27 2704 2341.97 268435455
28 2704 4638.72 536870911
29 2704 9143.19 1073741823
1 3025 0.000346 3
2 3025 0.000359 7
3 3025 0.00053 15
4 3025 0.000851 31
5 3025 0.001042 63
6 3025 0.001752 127
7 3025 0.002912 255
8 3025 0.007883 511
