n v tiempo llamadas
76 2809 10.4128 362383
79 2809 11.0741 376985
1 3136 0.019981 3
4 3136 0.031415 31
7 3136 0.048954 249
10 3136 0.107516 1519
13 3136 0.288418 8047
16 3136 0.684055 20113
19 3136 1.36858 41899
22 3136 1.90112 61053
25 3136 2.5583 82119
28 3136 3.08637 98285
31 3136 3.70415 119427
34 3136 4.0479 133423
37 3136 4.82101 155097
40 3136 5.43988 177231
43 3136 5.7007 189049
46 3136 6.39699 211615
49 3136 6.58543 225123
52 3136 7.36061 248999
55 3136 7.81539 264369
58 3136 8.39264 289841
61 3136 8.79463 303047
64 3136 9.43704 320483
67 3136 9.95442 344487
70 3136 10.3281 359219
73 3136 10.9502 376711
76 3136 11.175 394519
79 3136 12.0129 417669
1 3481 0.021261 3
4 3481 0.033404 31
7 3481 0.058595 193
10 3481 0.115871 1667
13 3481 0.301958 8995
16 3481 0.793421 23721
19 3481 1.50528 47337
22 3481 2.10774 66071
25 3481 2.55418 83839
28 3481 3.19299 104271
31 3481 3.92561 129201
34 3481 4.71938 151559
37 3481 5.05821 168455
40 3481 5.63389 186117
43 3481 6.38737 209757
46 3481 6.81865 232315
49 3481 7.29779 243943
52 3481 8.1744 274331
55 3481 8.95932 294843
58 3481 9.0397 314483
61 3481 9.81073 335969
64 3481 10.4954 355711
67 3481 11.1927 379163
70 3481 11.693 399769
73 3481 12.3091 422585
76 3481 12.9081 444979
79 3481 13.1892 462687
1 3844 0.021656 3
4 3844 0.038935 31
7 3844 0.058036 233
10 3844 0.116595 1429
13 3844 0.248097 4641
16 3844 0.689889 19723
19 3844 1.47991 46729
22 3844 2.24566 70143
25 3844 3.15839 99945
28 3844 3.54821 117297
31 3844 4.20153 135977
34 3844 4.85516 161405
37 3844 5.70698 183997
40 3844 6.26615 204555
43 3844 7.0079 236227
46 3844 7.6248 256655
49 3844 8.22402 282971
52 3844 8.83176 295861
55 3844 9.56275 322549
58 3844 10.1283 345311
61 3844 10.7838 372115
64 3844 11.2921 391635
67 3844 11.9076 410839
70 3844 12.5011 435651
73 3844 13.1356 458961
76 3844 13.9654 484583
79 3844 14.7956 508703
1 4225 0.025948 3
4 4225 0.041484 31
7 4225 0.07156 213
10 4225 0.129821 1309
13 4225 0.321537 8673
16 4225 0.770909 22591
19 4225 1.88107 56659
22 4225 2.40874 75179
25 4225 3.04735 97929
28 4225 3.98977 128533
31 4225 4.74858 154097
34 4225 5.52287 177511
37 4225 6.25543 204503
40 4225 6.96049 229457
43 4225 7.26309 247505
46 4225 8.17161 280889
49 4225 9.07553 302667
52 4225 9.57117 327431
55 4225 10.0705 349013
58 4225 11.2844 378595
61 4225 11.9496 399951
64 4225 12.4713 430397
67 4225 13.4579 455365
70 4225 13.9099 482711
73 4225 14.8759 508375
76 4225 15.4027 530371
79 4225 15.9557 554345
1 4624 0.025946 3
4 4624 0.044958 31
7 4624 0.076533 241
10 4624 0.136136 1461
13 4624 0.362176 10349
16 4624 0.706495 19367
19 4624 1.85219 53421
22 4624 2.6816 84415
25 4624 3.33301 104945
28 4624 4.24144 136581
31 4624 5.04722 163729
34 4624 6.33064 200399
37 4624 6.77986 221273
40 4624 7.19068 243307
43 4624 8.41346 278327
46 4624 9.19676 307023
49 4624 9.85017 329589
52 4624 10.5508 358601
55 4624 11.336 391449
58 4624 12.1061 409541
61 4624 12.5622 434993
64 4624 13.8322 464543
67 4624 14.6665 494625
70 4624 15.5204 529817
73 4624 16.1462 558921
76 4624 17.0944 587377
79 4624 17.965 615847
1 5041 0.026246 3
4 5041 0.046483 31
7 5041 0.083132 247
10 5041 0.145258 1295
13 5041 0.293595 5441
16 5041 1.14118 36625
19 5041 1.69394 52117
22 5041 2.87795 91315
25 5041 3.75156 120345
28 5041 4.43544 142887
31 5041 5.58555 179911
34 5041 6.53446 214673
37 5041 7.17033 234747
40 5041 8.3872 272973
43 5041 9.0884 294281
46 5041 9.72215 332315
49 5041 10.3928 356529
52 5041 11.5619 389095
55 5041 12.1664 418681
58 5041 13.0743 454327
61 5041 13.9145 476681
64 5041 14.8841 510619
67 5041 15.4593 534937
70 5041 16.5011 569443
73 5041 17.3688 598537
76 5041 18.5928 642475
79 5041 19.125 661733
1 5476 0.030903 3
4 5476 0.054076 31
7 5476 0.091119 243
10 5476 0.158374 1801
13 5476 0.314342 6093
16 5476 0.821198 23251
19 5476 2.18868 67261
22 5476 2.91127 91141
25 5476 3.8546 123223
28 5476 5.00121 163581
31 5476 5.70741 186449
34 5476 6.65614 219839
37 5476 7.87513 255803
40 5476 8.82238 289677
43 5476 9.49155 317287
46 5476 10.3237 351941
49 5476 11.3536 387525
52 5476 12.5295 420169
55 5476 13.4347 459271
58 5476 14.318 486291
61 5476 15.4632 521275
64 5476 16.3611 561025
67 5476 16.8568 579219
70 5476 18.1779 622709
73 5476 19.1497 649739
76 5476 19.9511 676139
79 5476 21.2128 719445
1 5929 0.032722 3
4 5929 0.056402 31
7 5929 0.098728 255
10 5929 0.173093 1427
13 5929 0.358347 7653
16 5929 1.10791 32731
19 5929 2.11338 65977
22 5929 3.35607 106373
25 5929 4.14327 132419
28 5929 5.15158 167003
31 5929 6.11746 201613
34 5929 7.01695 234631
37 5929 8.45935 276615
40 5929 9.37573 312971
43 5929 10.6313 350305
46 5929 11.2776 384701
49 5929 12.6219 421499
52 5929 13.744 452199
55 5929 14.6759 495785
58 5929 15.5494 527395
61 5929 16.5039 563209
64 5929 17.6723 604781
67 5929 18.4112 632071
70 5929 19.4248 669749
73 5929 20.4531 701321
76 5929 21.6317 741471
79 5929 22.7696 772765
