34 529 0.793573 26065
37 529 0.904023 29535
40 529 0.998735 31031
43 529 1.05637 34567
46 529 1.18813 39071
49 529 1.27634 41997
52 529 1.34325 44115
55 529 1.45904 47559
58 529 1.56555 51721
61 529 1.67178 54155
64 529 1.75432 57171
67 529 1.84371 60887
70 529 1.94846 63827
73 529 2.03775 67537
76 529 2.14123 69731
79 529 2.28721 73777
1 676 0.009524 3
4 676 0.011155 31
7 676 0.018379 211
10 676 0.051604 1295
13 676 0.127423 3999
16 676 0.278836 9089
19 676 0.398894 13091
22 676 0.54523 16999
25 676 0.620848 20163
28 676 0.772608 25245
31 676 0.866639 28305
34 676 0.965951 30829
37 676 1.14827 37273
40 676 1.26359 41283
43 676 1.37868 45433
46 676 1.50703 48413
49 676 1.62133 53181
52 676 1.703 56289
55 676 1.87051 60615
58 676 1.97313 64941
61 676 2.12596 69261
64 676 2.26077 73419
67 676 2.3558 77129
70 676 2.49202 81791
73 676 2.62102 85505
76 676 2.69721 89735
79 676 2.83431 92783
1 841 0.009492 3
4 841 0.01151 31
7 841 0.02015 245
10 841 0.074743 1107
13 841 0.144199 4843
16 841 0.305865 10101
19 841 0.487937 15957
22 841 0.645537 20643
25 841 0.781648 25441
28 841 0.989947 31041
31 841 1.10314 35829
34 841 1.20802 39613
37 841 1.35298 44217
40 841 1.52477 49679
43 841 1.70653 54547
46 841 1.8538 60739
49 841 1.99557 66071
52 841 2.12635 69667
55 841 2.32946 74959
58 841 2.47901 80821
61 841 2.62032 85631
64 841 2.72195 89911
67 841 2.81722 94449
70 841 3.10447 100493
73 841 3.21053 104039
76 841 3.31438 110151
79 841 3.45362 114255
1 1024 0.009614 3
4 1024 0.013098 31
7 1024 0.022405 245
10 1024 0.052695 1433
13 1024 0.17254 5533
16 1024 0.327319 10591
19 1024 0.531689 16927
22 1024 0.763629 24949
25 1024 0.920749 30183
28 1024 1.09847 36053
31 1024 1.28758 40599
34 1024 1.45693 46637
37 1024 1.60997 53337
40 1024 1.98954 59643
43 1024 2.05799 67803
46 1024 2.19774 69843
49 1024 2.42385 79835
52 1024 2.55938 84567
55 1024 2.7986 90669
58 1024 2.94461 96603
61 1024 3.1487 104299
64 1024 3.28498 109431
67 1024 3.4218 114651
70 1024 3.68161 121459
73 1024 3.91332 128473
76 1024 3.93468 132719
79 1024 4.16918 138635
1 1225 0.011747 3
4 1225 0.014003 31
7 1225 0.024872 179
10 1225 0.056431 1103
13 1225 0.150664 4575
16 1225 0.417561 13413
19 1225 0.65461 20545
22 1225 0.82186 26523
25 1225 1.08324 34269
28 1225 1.29591 40255
31 1225 1.53474 50115
34 1225 1.72399 55083
37 1225 1.97976 62949
40 1225 2.24307 73145
43 1225 2.39999 76985
46 1225 2.52886 83501
49 1225 2.79821 93343
52 1225 2.9797 100517
55 1225 3.24822 108259
58 1225 3.46442 115763
61 1225 3.71705 123491
64 1225 3.91101 130891
67 1225 4.06655 137579
70 1225 4.27051 143791
73 1225 4.4478 151295
76 1225 4.57958 157615
79 1225 4.94908 166603
1 1444 0.012281 3
4 1444 0.016806 31
7 1444 0.028227 233
10 1444 0.061941 1359
13 1444 0.185079 5591
