n v tiempo llamadas
4 2809 0.001047 29
7 2809 0.001993 61
10 2809 0.004378 210
13 2809 0.012075 690
16 2809 0.022559 1397
19 2809 0.050355 2677
22 2809 0.03303 1670
25 2809 0.176987 11894
28 2809 0.109183 7155
31 2809 0.315206 19231
34 2809 0.113171 5320
37 2809 0.316714 18929
40 2809 1.15849 59137
43 2809 0.173326 9030
46 2809 1.15939 70879
49 2809 0.822849 48464
52 2809 2.09201 121888
55 2809 1.17698 69639
58 2809 1.84343 107476
61 2809 3.23179 188893
64 2809 4.3479 249057
67 2809 4.35873 270894
70 2809 5.49898 319697
73 2809 2.55841 159425
76 2809 15.0118 758087
79 2809 5.71907 346462
1 3136 0.000404 3
4 3136 0.000948 24
7 3136 0.002364 104
10 3136 0.007048 387
13 3136 0.015436 870
16 3136 0.014314 878
19 3136 0.048561 3063
22 3136 0.04317 2806
25 3136 0.200785 13042
28 3136 0.140711 8464
31 3136 0.590309 36639
34 3136 0.243932 14232
37 3136 0.12342 6700
40 3136 1.43207 93286
43 3136 0.449035 27665
46 3136 0.976618 57511
49 3136 0.766718 48637
52 3136 0.319671 19008
55 3136 0.690942 39379
58 3136 3.39729 177408
61 3136 2.26691 127084
64 3136 0.759289 49287
67 3136 4.08477 227459
70 3136 5.74304 314383
73 3136 2.62466 162631
76 3136 0.857686 44053
79 3136 3.41271 204127
1 3481 0.000457 3
4 3481 0.001227 27
7 3481 0.001476 48
10 3481 0.008551 447
13 3481 0.021239 1259
16 3481 0.028682 1549
19 3481 0.06797 3499
22 3481 0.048401 2714
25 3481 0.082431 4848
28 3481 0.272574 16198
31 3481 0.245013 14554
34 3481 0.347159 22910
37 3481 0.895195 51309
40 3481 0.309243 20740
43 3481 0.483064 30289
46 3481 1.7844 111183
49 3481 0.631603 38472
52 3481 1.55499 95840
55 3481 2.76855 163491
58 3481 0.56032 29782
61 3481 0.781347 38178
64 3481 3.34204 192050
67 3481 2.41899 139711
70 3481 0.813177 40510
73 3481 2.56078 133590
76 3481 1.51429 92340
79 3481 5.49661 315036
1 3844 0.000399 3
4 3844 0.001018 27
7 3844 0.002032 76
10 3844 0.004582 225
13 3844 0.004083 192
16 3844 0.006024 331
19 3844 0.039801 2066
22 3844 0.070566 4678
25 3844 0.133521 7494
28 3844 0.051179 3023
31 3844 0.575618 35835
34 3844 0.237168 14709
37 3844 0.339337 21018
40 3844 0.404079 28607
43 3844 0.926125 52413
46 3844 0.275646 14586
49 3844 1.33967 78176
52 3844 0.779337 48934
55 3844 1.51851 88517
58 3844 1.26297 84487
61 3844 5.47534 275481
64 3844 3.00147 176395
67 3844 2.43531 154065
70 3844 0.760611 43333
73 3844 3.58911 208822
76 3844 11.1272 581782
79 3844 6.67384 387757
1 4225 0.000436 3
4 4225 0.000822 19
7 4225 0.00171 60
10 4225 0.003499 161
13 4225 0.019173 1158
16 4225 0.01795 1081
19 4225 0.06383 3184
22 4225 0.102761 6674
25 4225 0.07501 4624
28 4225 0.152003 8868
31 4225 0.56366 35891
34 4225 0.306985 16957
37 4225 0.940025 62191
40 4225 2.23213 147667
43 4225 0.61763 39199
46 4225 0.866309 51668
49 4225 0.898721 56597
52 4225 1.33953 74936
55 4225 2.27435 133811
58 4225 2.25409 133172
61 4225 1.73693 116352
64 4225 2.18585 133186
67 4225 2.11593 140946
70 4225 7.02225 406439
73 4225 6.73324 376653
76 4225 8.41766 477521
79 4225 6.25493 358870
1 4624 0.000439 3
4 4624 0.000778 18
7 4624 0.002281 93
10 4624 0.005046 232
13 4624 0.033309 2098
16 4624 0.004359 233
19 4624 0.029906 1821
22 4624 0.127202 7876
25 4624 0.040909 2045
28 4624 0.147755 10173
31 4624 0.338972 19712
34 4624 1.15195 69784
37 4624 0.367254 24818
40 4624 0.282071 18415
43 4624 1.17216 61830
46 4624 0.245679 12204
49 4624 1.14861 74598
52 4624 1.89695 124982
55 4624 2.28302 128079
58 4624 1.21824 84246
61 4624 0.813469 49029
64 4624 4.59105 315984
67 4624 2.68901 159001
70 4624 6.39388 368295
73 4624 6.16849 357092
76 4624 8.53088 428247
79 4624 2.87515 167707
1 5041 0.000414 3
4 5041 0.000923 21
7 5041 0.00283 123
10 5041 0.003433 151
13 5041 0.005627 308
16 5041 0.103065 5989
19 5041 0.01967 1109
22 5041 0.282745 18410
25 5041 0.143087 8464
28 5041 0.215405 15245
31 5041 0.235975 16844
34 5041 0.465799 25443
37 5041 0.857686 49250
40 5041 0.457821 27002
43 5041 0.24093 15995
46 5041 0.551974 30821
49 5041 1.08925 61091
52 5041 0.325831 18215
55 5041 0.732519 46226
58 5041 2.69776 154314
61 5041 2.59048 153813
64 5041 2.7791 167157
67 5041 4.17966 231650
70 5041 5.24265 297092
73 5041 4.66105 267732
76 5041 1.62874 78031
79 5041 10.4308 557544
1 5476 0.000603 3
4 5476 0.000912 25
7 5476 0.002287 90
10 5476 0.007157 408
13 5476 0.006683 372
16 5476 0.011031 636
19 5476 0.086657 5984
22 5476 0.028439 1798
25 5476 0.099737 6091
28 5476 0.34124 22228
31 5476 0.176792 11641
34 5476 0.30467 19875
37 5476 0.093466 6643
40 5476 0.37729 26023
43 5476 1.55965 93285
46 5476 0.1766 9350
49 5476 0.27864 15888
52 5476 0.956185 63668
55 5476 1.09149 56036
58 5476 0.857903 57096
61 5476 3.08564 192467
64 5476 6.04877 331341
67 5476 6.05989 369957
70 5476 3.45344 213722
73 5476 7.80531 447344
76 5476 1.23062 71424
79 5476 7.83977 450360
1 5929 0.000399 3
4 5929 0.000886 20
7 5929 0.003539 152
10 5929 0.004185 205
13 5929 0.007956 422
16 5929 0.01601 667
19 5929 0.039254 2633
22 5929 0.151909 9492
25 5929 0.14436 10225
28 5929 0.1191 7315
31 5929 0.243507 15296
34 5929 0.326865 21008
37 5929 0.401293 27253
40 5929 0.173103 7747
43 5929 1.3271 86256
46 5929 0.167486 10708
49 5929 3.49192 208490
52 5929 1.55923 92394
55 5929 2.14014 139444
58 5929 3.01423 174843
61 5929 2.43434 148584
64 5929 12.9963 807459
67 5929 2.1285 138182
70 5929 8.86422 536722
73 5929 5.28919 295566
76 5929 6.01051 361251
79 5929 5.42885 327445
