n v tiempo llamadas
11 4096 0.163689 2981
12 4096 0.213457 4381
13 4096 0.310973 8213
14 4096 0.402571 10777
15 4096 0.487238 13577
16 4096 0.860136 26467
17 4096 1.0324 31877
18 4096 1.21069 37223
19 4096 1.68009 52237
20 4096 1.87515 64181
21 4096 1.89147 62863
22 4096 2.04708 68603
23 4096 2.59388 89055
24 4096 2.85947 95801
25 4096 3.05727 102961
26 4096 3.32665 105913
27 4096 3.35087 114259
28 4096 3.59288 120631
29 4096 3.93099 133161
1 4489 0.024936 3
2 4489 0.030523 7
3 4489 0.038414 15
4 4489 0.044663 31
5 4489 0.052817 59
6 4489 0.066548 115
7 4489 0.076639 241
8 4489 0.091189 421
9 4489 0.108618 649
10 4489 0.132989 1479
11 4489 0.176496 3235
12 4489 0.236025 5147
13 4489 0.276613 5547
14 4489 0.393676 9887
15 4489 0.612296 17009
16 4489 0.813841 25257
17 4489 1.07755 33313
18 4489 1.2398 39661
19 4489 1.44586 45013
20 4489 1.614 52705
21 4489 2.12354 68067
22 4489 2.37524 78305
23 4489 2.56097 85691
24 4489 2.93238 99555
25 4489 3.25043 109659
26 4489 4.06717 120611
27 4489 3.84933 129985
28 4489 3.81627 128473
29 4489 4.00138 132927
1 4900 0.030328 3
2 4900 0.03281 7
3 4900 0.04114 15
4 4900 0.050014 31
5 4900 0.058249 61
6 4900 0.076181 119
7 4900 0.084449 245
8 4900 0.106223 433
9 4900 0.117754 951
10 4900 0.147164 1547
11 4900 0.173827 2035
12 4900 0.241084 4405
13 4900 0.367727 10385
14 4900 0.487874 13991
15 4900 0.527573 14207
16 4900 0.878518 26829
17 4900 1.09879 33115
18 4900 1.51228 46933
19 4900 1.97666 56081
20 4900 1.84098 60871
21 4900 2.30643 78133
22 4900 2.52184 83593
23 4900 2.86115 96303
24 4900 3.08391 104205
25 4900 3.60135 122569
26 4900 3.79624 126953
27 4900 4.02142 133503
28 4900 4.30184 143823
29 4900 4.55809 154351
1 5329 0.028611 3
2 5329 0.032971 7
3 5329 0.044199 15
4 5329 0.053051 31
5 5329 0.066072 63
6 5329 0.078925 119
7 5329 0.090183 253
8 5329 0.10697 439
9 5329 0.13094 859
10 5329 0.155144 1629
11 5329 0.197547 3203
12 5329 0.258483 5145
13 5329 0.352252 8865
14 5329 0.433311 11085
15 5329 0.57976 15285
16 5329 1.09754 34951
17 5329 1.08713 31371
18 5329 1.61427 48491
19 5329 1.96052 61885
20 5329 2.2294 70449
21 5329 2.20921 72939
22 5329 2.57212 87573
23 5329 3.07277 105087
24 5329 3.39328 117321
25 5329 3.7752 129657
26 5329 3.90937 130923
27 5329 4.1664 142209
28 5329 4.87023 163377
29 5329 4.91257 164515
1 5776 0.032484 3
2 5776 0.038373 7
3 5776 0.046416 15
4 5776 0.056832 31
5 5776 0.070481 63
6 5776 0.085333 127
7 5776 0.099716 233
8 5776 0.117921 439
9 5776 0.135582 951
10 5776 0.164049 1483
11 5776 0.208516 2889
12 5776 0.262984 4957
13 5776 0.277952 5253
14 5776 0.459319 12191
15 5776 0.718219 20943
16 5776 1.01605 28785
17 5776 1.13876 34355
18 5776 1.64586 52267
19 5776 2.26132 71461
20 5776 2.14414 71213
21 5776 2.82814 93507
22 5776 3.30603 112609
23 5776 3.33675 110531
24 5776 3.57713 119775
25 5776 4.13704 138675
26 5776 6.9083 146991
27 5776 4.94848 172895
28 5776 4.94889 166275
29 5776 5.39229 178317
1 6241 0.033746 3
2 6241 0.041173 7
3 6241 0.051031 15
4 6241 0.065063 31
5 6241 0.074717 63
6 6241 0.092206 121
7 6241 0.111054 247
8 6241 0.121429 509
9 6241 0.144574 633
10 6241 0.17477 1635
11 6241 0.208845 2591
12 6241 0.281008 5807
13 6241 0.335792 7035
14 6241 0.465687 11351
15 6241 0.725196 20779
16 6241 1.06472 32465
17 6241 1.30761 39805
18 6241 1.63524 49857
19 6241 2.26177 71115
20 6241 2.44879 81267
21 6241 2.53297 83525
22 6241 3.21881 106145
23 6241 3.81696 129177
24 6241 3.77161 126217
25 6241 4.05469 134793
26 6241 6.17476 156041
27 6241 4.74908 161337
28 6241 5.1568 172369
29 6241 5.62997 194249
