n v tiempo llamadas
22 3721 0.129179 9524
23 3721 0.060339 3186
24 3721 0.250669 15181
25 3721 0.102284 7640
26 3721 0.324559 22677
27 3721 0.157699 10015
28 3721 0.303729 22065
29 3721 0.298343 19392
1 4096 0.000412 3
2 4096 0.00054 7
3 4096 0.000699 15
4 4096 0.001051 26
5 4096 0.001112 31
6 4096 0.00158 59
7 4096 0.001986 79
8 4096 0.003653 176
9 4096 0.005481 262
10 4096 0.00226 104
11 4096 0.009428 497
12 4096 0.006971 363
13 4096 0.015209 919
14 4096 0.008825 494
15 4096 0.00813 429
16 4096 0.031712 2041
17 4096 0.015077 945
18 4096 0.011964 708
19 4096 0.038272 2549
20 4096 0.090788 5426
21 4096 0.025371 1593
22 4096 0.036085 2481
23 4096 0.341086 21278
24 4096 0.172418 11859
25 4096 0.120957 7979
26 4096 0.283378 14333
27 4096 0.104298 7704
28 4096 0.142771 10219
29 4096 0.215775 13338
1 4489 0.000377 3
2 4489 0.000563 7
3 4489 0.000693 11
4 4489 0.001043 21
5 4489 0.001032 28
6 4489 0.001513 49
7 4489 0.002121 85
8 4489 0.002694 101
9 4489 0.001981 76
10 4489 0.004783 235
11 4489 0.010432 569
12 4489 0.012409 708
13 4489 0.003995 222
14 4489 0.005795 317
15 4489 0.025041 1487
16 4489 0.017439 1035
17 4489 0.019658 1096
18 4489 0.020851 1204
19 4489 0.014675 914
20 4489 0.011257 675
21 4489 0.053764 3613
22 4489 0.109584 7057
23 4489 0.0408 2479
24 4489 0.079828 5178
25 4489 0.141345 8595
26 4489 0.292477 12150
27 4489 0.303695 20193
28 4489 0.068442 4789
29 4489 0.138451 7830
1 4900 0.000433 3
2 4900 0.000525 6
3 4900 0.000704 15
4 4900 0.000885 22
5 4900 0.001038 26
6 4900 0.001367 44
7 4900 0.002638 105
8 4900 0.004489 232
9 4900 0.00742 404
10 4900 0.006558 326
11 4900 0.00363 161
12 4900 0.006826 389
13 4900 0.024715 1270
14 4900 0.017332 969
15 4900 0.010908 651
16 4900 0.019664 1348
17 4900 0.02005 1152
18 4900 0.061815 3556
19 4900 0.050936 3278
20 4900 0.021505 1411
21 4900 0.142965 10419
22 4900 0.033757 2159
23 4900 0.201779 14189
24 4900 0.083665 6050
25 4900 0.574672 32658
26 4900 0.193356 12608
27 4900 0.072125 4871
28 4900 0.171724 12183
29 4900 0.439512 28476
1 5329 0.000394 3
2 5329 0.000542 6
3 5329 0.001052 12
4 5329 0.000937 27
5 5329 0.001276 42
6 5329 0.001519 43
7 5329 0.003795 185
8 5329 0.003207 134
9 5329 0.004839 246
10 5329 0.006234 321
11 5329 0.008212 468
12 5329 0.011897 643
13 5329 0.01288 766
14 5329 0.008146 453
15 5329 0.009312 491
16 5329 0.047447 3065
17 5329 0.011814 693
18 5329 0.0275 1797
19 5329 0.041603 2739
20 5329 0.027132 1883
21 5329 0.01777 1194
22 5329 0.127163 9232
23 5329 0.242165 17768
24 5329 0.348192 26320
25 5329 0.137064 7930
26 5329 0.143467 8154
27 5329 0.101816 6982
28 5329 0.310518 19960
29 5329 0.087558 6108
1 5776 0.00043 3
2 5776 0.000508 7
3 5776 0.000626 12
4 5776 0.00097 31
5 5776 0.00124 33
6 5776 0.001811 58
7 5776 0.002139 77
8 5776 0.003097 129
9 5776 0.006556 317
10 5776 0.004476 225
11 5776 0.008434 417
12 5776 0.010143 555
13 5776 0.015364 859
14 5776 0.022159 1308
15 5776 0.021537 1322
16 5776 0.017215 1019
17 5776 0.022782 1174
18 5776 0.054991 3628
19 5776 0.119768 7719
20 5776 0.03013 2024
21 5776 0.129398 9175
22 5776 0.27319 19162
23 5776 0.068871 4963
24 5776 0.077508 5692
25 5776 0.416093 30507
26 5776 0.224849 14548
27 5776 0.552793 36082
28 5776 0.125911 9278
29 5776 0.380966 27495
1 6241 0.000435 3
2 6241 0.000523 7
3 6241 0.000633 12
4 6241 0.000862 22
5 6241 0.001328 40
6 6241 0.001677 52
7 6241 0.002678 97
8 6241 0.006152 323
9 6241 0.002043 87
10 6241 0.006524 354
11 6241 0.00467 234
12 6241 0.020686 1223
13 6241 0.008487 439
14 6241 0.016857 1023
15 6241 0.015148 902
16 6241 0.027665 1772
17 6241 0.015079 929
18 6241 0.023939 1475
19 6241 0.047028 3136
20 6241 0.035165 2111
21 6241 0.029365 1986
22 6241 0.217235 15310
23 6241 0.219716 14124
24 6241 0.072545 5101
25 6241 0.092239 6614
26 6241 0.167275 11512
27 6241 0.507222 38379
28 6241 0.1201 8517
29 6241 0.219571 14344
